legacy_state,legacy_url,full_url,template,controller,auth_scope,module_file,modern_route,modern_component,status,notes
Root.WithOrg.Client.Books,/Books,/:organizationName/Books,,,unspecified,src/webapp/src/client/app/books/books.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/books/books.module.js:28
Root.WithOrg.Client.Books.Add,/Add,/:organizationName/Books/Add,app/books/create-edit/create-edit.html,booksCreateEditController,unspecified,src/webapp/src/client/app/books/books.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/books/books.module.js:42
Root.WithOrg.Client.Books.Edit,/Edit/:id/:officeId,/:organizationName/Books/Edit/:id/:officeId,app/books/create-edit/create-edit.html,booksCreateEditController,unspecified,src/webapp/src/client/app/books/books.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/books/books.module.js:48
Root.WithOrg.Client.Books.List,/List,/:organizationName/Books/List,app/books/books.html,booksController,unspecified,src/webapp/src/client/app/books/books.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/books/books.module.js:36
Root.WithOrg.Client.Committees,/Committees,/:organizationName/Committees,,,unspecified,src/webapp/src/client/app/committee/committee.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/committee/committee.module.js:23
Root.WithOrg.Client.Committees.List,/List,/:organizationName/Committees/List,app/committee/committee-list.html,CommitteeController,unspecified,src/webapp/src/client/app/committee/committee.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/committee/committee.module.js:28
Root.WithOrg.Client.Employee,/Employee,/:organizationName/Employee,,,unspecified,src/webapp/src/client/app/employee-list/employee-list.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/employee-list/employee-list.module.js:17
Root.WithOrg.Client.Employee.List,/List,/:organizationName/Employee/List,app/employee-list/employee-list.html,EmployeeListController,unspecified,src/webapp/src/client/app/employee-list/employee-list.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/employee-list/employee-list.module.js:22
Root.WithOrg.Client.Events,/Events,/:organizationName/Events,,,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:38
Root.WithOrg.Client.Events.AddEvents,/AddEvent,/:organizationName/Events/AddEvent,app/events/create-edit/create-edit.html,addNewEventController,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:70
Root.WithOrg.Client.Events.EditEvent,/Edit/:id,/:organizationName/Events/Edit/:id,app/events/create-edit/create-edit.html,addNewEventController,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:76
Root.WithOrg.Client.Events.EventContent,/EventContent/:id,/:organizationName/Events/EventContent/:id,app/events/content/content.html,EventContentController,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:61
Root.WithOrg.Client.Events.List,/List,/:organizationName/Events/List,app/events/list/list.html,eventsListController,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:43
Root.WithOrg.Client.Events.List.Type,/:type/office/:office,/:organizationName/Events/List/:type/office/:office,app/events/list/by-type/by-type.html,eventsByTypeController,unspecified,src/webapp/src/client/app/events/events.module.js,TBD,TBD,unmapped,src/webapp/src/client/app/events/events.module.js:49
