legacy_controller,legacy_action,http_method,legacy_route,auth_scope,response_shape,modern_module,modern_handler,status,notes
UserDeprecatedController,PutJobInfo,PUT,ApplicationUser/PutJobInfo,permission:BasicPermissions.ApplicationUser,Task<HttpResponseMessage>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/UserDeprecatedController.cs:564
UserDeprecatedController,PutOfficeInfo,PUT,ApplicationUser/PutOfficeInfo,permission:BasicPermissions.ApplicationUser,Task<HttpResponseMessage>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/UserDeprecatedController.cs:747
UserDeprecatedController,PutPersonalInfo,PUT,ApplicationUser/PutPersonalInfo,permission:BasicPermissions.ApplicationUser,Task<HttpResponseMessage>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/UserDeprecatedController.cs:660
UserDeprecatedController,PutShroomsInfo,PUT,ApplicationUser/PutShroomsInfo,permission:BasicPermissions.ApplicationUser,Task<HttpResponseMessage>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/UserDeprecatedController.cs:782
UserDeprecatedController,RevertImpersonate,GET,ApplicationUser/RevertImpersonate,anonymous,Task<HttpResponseMessage>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/UserDeprecatedController.Impersonation.cs:32
UserDeprecatedController,SetUserTutorialStatusToComplete,PUT,ApplicationUser/CompleteTutorial,authenticated,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/UserDeprecatedController.cs:874
VacationPageController,EditVacationPage,PUT,VacationPage/Edit,permission:AdministrationPermissions.Vacation,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/VacationPageController.cs:43
VacationPageController,GetVacationPage,GET,VacationPage/Get,authenticated,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/VacationPageController.cs:28
WallController,CreateWall,POST,Wall/Create,permission:BasicPermissions.Wall,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:243
WallController,DeleteWall,DELETE,Wall/Delete,permission:BasicPermissions.Wall,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:300
WallController,EditWall,PUT,Wall/Edit,permission:BasicPermissions.Wall,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:272
WallController,GetAllPagedWall,GET,Wall/AllPosts,permission:BasicPermissions.Post,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:196
WallController,GetAllPagedWallDeprecated,GET,Wall/AllPosts,permission:BasicPermissions.Post,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:213
WallController,GetPagedWall,GET,Wall/Posts,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:160
WallController,GetWall,GET,Wall/Details,permission:BasicPermissions.Post|BasicPermissions.Event,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:64
WallController,GetWallList,GET,Wall/List,permission:BasicPermissions.Post,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:47
WallController,GetWallMembers,GET,Wall/Members,permission:BasicPermissions.Wall,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:142
WallController,JoinWall,PUT,Wall/Follow,permission:BasicPermissions.Wall,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:102
WallController,SearchWall,GET,Wall/Search,permission:BasicPermissions.Post,Task<IHttpActionResult>,TBD,TBD,unmapped,src/api/Shrooms.Presentation.Api/Controllers/Wall/WallController.cs:221
